,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
GDP,14718.6,14418.7,14964.4,15517.9,16163.2,16800.0,17348.1,18036.7,18624.5,19479.6,20527.2,21372.6,21060.5,23315.1,25419.5,26438.4,29166.2,30441.1,31640.6,32841.0,34078.4,35378.4,36738.8,38151.3,39626.7,41154.2,42727.6,44345.4
TPY,12429.6,12087.5,12429.3,13202.0,13887.7,14166.9,14694.2,15458.5,15928.7,16850.2,17706.0,18424.4,19832.3,21294.8,21766.7,23120.9,24676.7,25890.0,27110.3,28313.3,29611.2,30932.5,32263.0,33596.3,34978.9,36402.2,37885.7,39444.9
Wages,6531.9,6251.4,6377.5,6633.2,6932.1,7124.7,7477.8,7854.8,8085.3,8474.7,8900.5,9323.5,9457.4,10290.1,11160.2,11719.0,12416.2,13022.9,13622.7,14197.0,14796.4,15404.3,16015.7,16641.4,17284.4,17941.1,18623.9,19330.3
SCHC,979.5,937.5,986.7,1068.1,1187.9,1253.5,1268.5,1336.8,1298.7,1466.4,1541.5,1560.5,1598.0,1702.3,1754.0,1818.5,1963.7,2048.2,2137.5,2219.7,2298.0,2375.3,2453.5,2535.7,2624.8,2723.7,2828.8,2935.9
SCHF,47.0,35.5,46.0,75.5,72.3,83.2,78.1,40.0,43.2,39.5,38.9,38.4,45.2,51.3,90.1,93.8,40.1,42.2,45.5,48.2,50.6,52.8,54.9,56.8,58.5,60.0,61.5,62.8
INTS,1361.6,1264.3,1195.0,1231.6,1255.9,1255.2,1302.0,1302.8,1415.3,1553.4,1615.0,1652.0,1647.3,1658.6,1753.4,2074.3,1979.6,2165.6,2267.6,2400.5,2600.4,2792.0,2962.3,3131.0,3303.0,3454.8,3629.0,3800.4
DIVS,805.4,553.7,544.6,682.2,832.7,824.5,815.5,951.1,962.5,1154.5,1253.3,1316.0,1448.1,1543.9,1621.6,1660.1,1990.0,2106.5,2228.8,2322.2,2407.9,2506.1,2607.1,2710.1,2815.4,2923.4,3034.6,3149.2
RENTS,262.1,333.7,402.8,485.3,533.0,595.8,610.8,659.6,707.4,652.7,681.9,692.1,719.9,723.8,783.4,840.8,1052.8,1075.9,1115.5,1150.9,1178.9,1208.7,1239.6,1236.6,1240.7,1258.5,1288.0,1329.7
CGNS,498.0,263.0,394.0,404.0,647.0,511.0,716.0,725.0,641.0,871.3,944.0,881.0,1147.7,2072.7,1282.6,943.4,1368.1,1445.3,1404.4,1366.0,1366.5,1392.6,1431.2,1477.7,1530.5,1586.8,1645.5,1706.9
BOOK,1285.1,1397.0,1746.4,1816.6,2022.8,2106.9,2072.9,2088.1,2073.5,2128.9,2305.0,2367.8,2260.1,2771.1,2925.1,2573.6,3796.2,3894.7,3932.9,3947.1,3940.3,3965.0,4068.2,4243.0,4440.6,4633.6,4823.1,5020.0
RETS,142.5,140.5,142.9,145.4,144.9,146.6,148.3,147.8,149.7,149.9,152.5,153.5,160.1,164.4,170.7,159.0,160.8,162.1,163.5,164.8,166.1,167.5,168.8,170.2,171.6,173.0,174.4,175.8
SOCSEC,503.0,544.5,572.5,591.5,627.2,663.2,698.2,733.7,762.1,791.1,833.0,888.1,940.2,982.7,1063.4,1190.9,1291.6,1374.2,1454.4,1537.5,1626.8,1718.8,1812.7,1907.9,2004.2,2101.4,2203.3,2310.2
CPIU,215.3,214.5,218.1,224.9,229.6,233.0,236.7,237.0,240.0,245.1,251.1,255.6,258.8,271.0,292.9,306.9,313.6,320.6,328.4,336.0,343.6,351.3,359.2,367.2,375.5,383.9,392.5,401.3
CPIM,364.1,375.6,388.4,400.3,414.9,425.1,435.3,446.8,463.7,475.3,484.7,498.4,518.9,525.3,546.5,549.1,563.8,534.3,542.1,549.7,557.3,565.0,572.9,580.9,589.2,597.6,606.2,615.0
UCOMP,51.1,131.2,138.9,107.2,83.6,62.2,43.8,39.9,31.2,31.1,28.7,27.0,27.925,240.656,36.743,27.511,31.4,39.8,43.9,45.9,47.7,49.2,50.8,52.5,54.2,55.8,57.4,59.1
