YEAR,APOPN,APOPDEP,APOPSNR,AGDPN,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,ARETS,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENEFITS
2011,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
2012,1.0077,0.9959,1.0435,1.0416,1.0519,0.9576,1.1135,1.0209,1.0365,0.9970,1.0406,1.0571,0.9635,1.1749,0.9341,0.9307,1.3380,1.6019,1.0730,0.7711,0.9231,1.0000
2013,1.0153,0.9934,1.0811,1.0826,1.0731,1.1020,1.1598,1.0360,1.0620,1.0136,1.0694,1.0598,1.0194,1.1805,0.9535,0.8380,1.1046,1.2528,1.1281,0.5620,0.8273,1.0000
2014,1.0229,0.9915,1.1179,1.1179,1.1130,1.0344,1.1411,1.0525,1.0874,1.0097,1.1205,1.1111,1.0582,1.2797,0.9523,0.7817,1.3088,1.7513,1.1721,0.3603,0.8029,1.0000
2015,1.0309,0.9912,1.1563,1.1623,1.1709,0.5298,1.1495,1.0538,1.1162,1.0352,1.1565,1.1624,1.1092,1.3475,1.0147,0.7983,1.3373,1.7726,1.2332,0.2947,0.7938,1.0621
2016,1.0394,0.9920,1.1947,1.2002,1.2065,0.5722,1.1414,1.0671,1.1584,1.0337,1.1738,1.1538,1.1246,1.3351,1.0065,0.8046,1.3055,1.5757,1.2632,0.2752,0.7952,1.1748
2017,1.0478,0.9933,1.2342,1.2553,1.2763,0.5232,1.1719,1.0898,1.1874,1.0518,1.2313,1.2337,1.2839,1.4717,1.1771,0.8830,1.4508,2.1360,1.3144,0.2592,0.8185,1.1984
2018,1.0563,0.9948,1.2756,1.3228,1.3412,0.5152,1.2689,1.1165,1.2108,1.0683,1.2932,1.2969,1.3496,1.5935,1.2745,0.9180,1.5749,2.3143,1.3840,0.2392,0.8601,1.3326
2019,1.0647,0.9965,1.3189,1.3773,1.3956,0.5086,1.3034,1.1365,1.2451,1.0827,1.3547,1.3128,1.3663,1.6369,1.3092,0.9390,1.6537,2.1598,1.4756,0.2250,0.8950,1.4158
2020,1.0731,0.9974,1.3644,1.3572,1.5022,0.5987,1.2441,1.1507,1.2963,1.0955,1.3741,1.3444,1.3991,1.5624,1.2497,0.9363,1.8197,2.8136,1.5622,0.2327,0.9633,1.4223
2021,1.0814,0.9992,1.4092,1.5025,1.6130,0.6795,1.5254,1.2050,1.3123,1.1084,1.4951,1.4321,1.4904,1.9157,1.5322,0.9428,1.9401,5.0813,1.6328,2.0057,1.0344,1.4764
2022,1.0897,1.0022,1.4558,1.6381,1.6487,1.1934,1.6102,1.3024,1.3652,1.1208,1.6215,1.4756,1.5357,2.0222,1.6174,0.9967,2.0378,3.1444,1.7669,0.3062,1.0573,1.5326
2023,1.0980,1.0051,1.5019,1.7037,1.7513,1.2424,1.4167,1.3646,1.3717,1.1334,1.7027,1.5299,1.5921,1.7792,1.4230,1.1791,2.0861,2.3128,1.9787,0.2293,1.1231,1.5909
2024,1.1062,1.0075,1.5468,1.8795,1.8692,0.5311,2.0897,1.3944,1.4084,1.1461,1.8040,1.6521,1.7193,2.6244,2.0990,1.1252,2.5007,3.3540,2.1457,0.2617,1.1987,1.6514
2025,1.1142,1.0101,1.5935,1.9617,1.9611,0.5589,2.1440,1.4255,1.3347,1.1589,1.8922,1.7231,1.7932,2.6925,2.1535,1.2310,2.6471,3.5432,2.2806,0.3317,1.2576,1.7143
2026,1.1222,1.0124,1.6377,2.0390,2.0535,0.6026,2.1650,1.4602,1.3542,1.1719,1.9793,1.7983,1.8714,2.7189,2.1746,1.2889,2.8008,3.4429,2.4165,0.3659,1.3169,1.7795
2027,1.1301,1.0143,1.6790,2.1163,2.1446,0.6384,2.1728,1.4940,1.3732,1.1850,2.0628,1.8674,1.9434,2.7287,2.1825,1.3645,2.9181,3.3488,2.5562,0.3826,1.3753,1.8472
2028,1.1379,1.0163,1.7188,2.1961,2.2429,0.6702,2.1691,1.5278,1.3922,1.1983,2.1499,1.9333,2.0120,2.7240,2.1787,1.4781,3.0258,3.3500,2.7043,0.3976,1.4383,1.9175
2029,1.1455,1.0198,1.7569,2.2798,2.3430,0.6993,2.1826,1.5620,1.4114,1.2117,2.2382,1.9983,2.0796,2.7411,2.1924,1.5870,3.1492,3.4140,2.8573,0.4101,1.5025,1.9904
2030,1.1530,1.0233,1.7915,2.3675,2.4438,0.7272,2.2395,1.5972,1.4312,1.2252,2.3270,2.0641,2.1481,2.8124,2.2494,1.6838,3.2762,3.5087,3.0138,0.4234,1.5672,2.0662
2031,1.1603,1.0266,1.8190,2.4585,2.5448,0.7523,2.3357,1.6327,1.4512,1.2390,2.4179,2.1333,2.2201,2.9332,2.3461,1.7797,3.4056,3.6226,3.1722,0.4376,1.6319,2.1448
2032,1.1675,1.0301,1.8433,2.5536,2.6495,0.7748,2.4445,1.6696,1.4719,1.2528,2.5114,2.2082,2.2981,3.0698,2.4553,1.8775,3.5379,3.7521,3.3317,0.4517,1.6991,2.2264
2033,1.1745,1.0337,1.8659,2.6520,2.7573,0.7947,2.5507,1.7070,1.4929,1.2669,2.6068,2.2914,2.3847,3.2033,2.5621,1.9638,3.6736,3.8901,3.4992,0.4651,1.7682,2.3111
2034,1.1813,1.0370,1.8889,2.7534,2.8697,0.8146,2.6550,1.7452,1.5144,1.2810,2.7060,2.3799,2.4767,3.3343,2.6668,2.0628,3.8134,4.0340,3.6751,0.4784,1.8403,2.3990
2035,1.1880,1.0400,1.9154,2.8577,2.9878,0.8318,2.7634,1.7843,1.5363,1.2954,2.8086,2.4700,2.5704,3.4704,2.7757,2.1602,3.9574,4.1845,3.6751,0.4926,1.9160,2.4903
